Imputation_,resilient,EFFORT1,ESCS,UNDREM,METASUM,METASPAM,DISCLIMA,TEACHSUP,DIRINS,PERFEED,STIMREAD,ADAPTIVITY,TEACHINT,JOYREAD,SCREADCOMP,SCREADDIFF,PISADIFF,PERCOMP,PERCOOP,ATTLNACT,COMPETE,WORKMAST,GFOFAIL,EUDMO,SWBP,MASTGOAL,DISCRIM,BELONG,BEINGBULLIED,EMOSUPP
0,0,10,-1.9519,-1.64,-1.72,-1.41,-2.7124,-1.1481,-1.0988,-.3253,-.62,-.5786,-1.0615,.3252,.1222,.9065,1.6524,.6912,.6012,-.6583,-.9792,-1.034,.1097,-.3121,-.5928,-.4347,.5881,-.445,1.2618,-.0472
0,0,5,-1.6831,-1.64,-1.72,-1.41,-.0424,.1155,-.2546,-.3253,.5102,.1067,.1744,.0797,-.5485,1.2421,.2705,-.6142,.6012,.0281,.1956,-.1015,.4637,.2621,1.2386,-.4347,.5881,-.3184,-.7823,-.6796
0,1,7,-1.8504,-1.64,-1.72,.42,-.0424,-.2023,-.0424,.7743,.5102,.4572,.1744,-.1042,-.825,-.0697,.2705,.6912,.6012,-.6583,.1956,-.1015,.4637,.2621,.7301,.3468,.5881,-.445,-.7823,.0721
0,1, ,-1.9005,-.25,.59,1.33,-2.7124,-2.7106,.0339,.299,-.9225,-.9246,-2.2177,.9011,.6994,-.524,-1.272,.2865,1.3256,1.0844,.6314,-.1015,.4637,-.9827,-1.566,-.2151,.5881,-.8186,1.2618,-1.7606
0,0,10,-1.5302,-.25,-1.72,-.04,.3529,1.314,1.8202,-.0363,.2464,-2.2652,.1744,-.2704,-1.0985,1.2421,.2705,.6912,.6012,-.6583,-.2047,-.1015,.4637,.2621,1.2386,.5761,.5881,-.3184,-.7823,-1.7606
0,1,5,-2.9743,-1.29,-1.34,-.5,.3529,.7015,-1.0493,-.3253,-.7658,.4572,.9684,-2.7114,.1222,.409,.2705,.6912,-.9391,-1.1534,2.0054,.5693,-1.059,-.267,-.5928,-1.4972,-1.1549,.3018,-.7823,-1.7606
0,0,9,-1.9779,.45,-1.72,-1.41,-.0424,-.2023,-.6245,-.3253,-.62,.1915,1.2662,.1667,-.4089,.9065,.8232,.6912,1.6762,-.6583,.1956,-.1015,-.2006,-.569,1.2386,.5761,.5881,.0348,1.5346,.0721
0,0,5,-1.7803,-1.64,-.18,-1.41,-1.516,-.7857,-1.0988,-.3253,-.62,-.5786,.1744,-1.4882,-.7391,1.2421,1.6524,-.6142,-.9391,1.0844,-.2047,-.1015,.4637,-.0193,-.5928,-1.3162,-.2861,-.672,.2907,-1.7606
0,0,9,-1.2917,.45,-.18,.42,-.0424,-.8998,-.9726,-.3253,.5102,-.1687,-.6413,.2694,-.5485,.9065,1.6524,-.6142,-.9391,1.0844,-.2661,.0273,.8794,-.9827,1.2386,-.4347,.5881,-.3184,-.7823,-1.7606
0,0,8,-1.2888,.1,.21,-.5,-1.9119,.7628,1.1049,.7743,.5102,2.0073,-.4358,-1.3532,1.8839,-.1483,1.0453,2.0378,1.6762,-1.1534,2.0054,1.0596,-.9598,.2621,1.2386,-.2151,1.7356,2.7249,-.7823,-2.6351
0,0,8,-2.2253,-1.29,-.57,-.5,-.5148,-.5575,-.8804,.0728,-.2336,-.5786,-.4141,-.4556,-1.4704,.3787,.2705,-.6142,-.9391,1.0844,.1956,-.1015,.4637,.2621,-.5928,.5761,1.0428,-.2444,-.7823,-1.8635
0,0,6,-1.5412,.1,-1.72,.42,.2377,-1.1481,-.7598,-.7784,-.62,-.5786,-1.0615,.1847,.1222,1.2421,.2705,-.6142,.6012,.0042,.1956,-.1015,-.1748,.2621,-.5928,-.4347,.9385,1.4685,.2907,.739
0,0, ,-1.5579,.1,-.95,-.5,-.0424,.3485,-.0424,-1.1311,.5102,-.5786,.1744,-.6278,-1.0985,-.0697,.9672,.6912,.6012,-.6583,-.5707,-.1015,-.687,.2621,-.5928,.5761,.5881,-.3485,1.4721,.739
0,0, ,-1.4687,.8,-.95,-1.41,-.2846,-.5973,-.7134,.0728,-.0716,.1067,.1744,.3252,-.849,-.0697,.2705,2.0378,.6012,-.6583,.7871, ,.8794,-.569,-.5928,-.4347,.0963,.0348,1.1928,.0721
0,0,7,-1.3155,-.6,-.57,-1.41,-.3031,1.314,.4854,.3993,-.62,.4572,.1744,.3252,-1.0985,1.5959,1.6524,.6912,.6012,1.0844,1.2643,1.1448,-.3288,.2621,1.2386,1.8524,.2143,.1604,-.7823,.739
0,0,4,-1.2977, ,.21,-.96,-1.2176,.3995,-2.9425,-1.6391,-.1966,.4572,-1.0615,-.9258,.6994,1.3451,.2705,.0866,-1.4801,1.0844,-.5707,-1.4028,-.6133,-.9827,-1.7969,-.3152,.9385,-.8633,1.8016,-.4858
0,0,7,-1.7578,-.25,.21,-.96,.871,1.314,1.8202,2.0165,2.0871,2.0073,1.8245,-.5581,-1.0985,1.2421,3.0064,1.4734,-.9391,1.0844,.1956,.7068,1.8905,.2621,-.5928,-.2151,-1.1549,-1.3241,.6725,.739
